iter	Passed	Remaining
942	3718	224
943	3720	220
944	3722	216
945	3725	212
946	3735	209
947	3739	205
948	3742	201
949	3744	197
950	3746	193
951	3748	189
952	3750	184
953	3753	180
954	3763	177
955	3767	173
956	3770	169
957	3772	165
958	3774	161
959	3776	157
960	3780	153
961	3788	149
962	3792	145
963	3794	141
964	3797	137
965	3800	133
966	3802	129
967	3805	125
968	3815	122
969	3819	118
970	3822	114
971	3824	110
972	3826	106
973	3828	102
974	3830	98
975	3840	94
976	3844	90
977	3846	86
978	3849	82
979	3851	78
980	3853	74
981	3854	70
982	3857	66
983	3866	62
984	3869	58
985	3872	54
986	3874	51
987	3877	47
988	3879	43
989	3881	39
990	3893	35
991	3897	31
992	3900	27
993	3903	23
994	3905	19
995	3910	15
996	3918	11
997	3922	7
998	3925	3
999	3927	0
