iter	TotalF1	Logloss
670	0.7369652243	0.5042170522
671	0.7369571417	0.5042022682
672	0.7369430369	0.5041950865
673	0.7368999985	0.5041805374
674	0.7369282638	0.5041678723
675	0.7369385204	0.5041551123
676	0.7369399124	0.5041419115
677	0.7369672833	0.5041322503
678	0.7370021261	0.504117914
679	0.7369733065	0.5041089336
680	0.736982894	0.5040991786
681	0.7369962174	0.5040883687
682	0.7370028502	0.5040828519
683	0.7370013443	0.504073528
684	0.7370041825	0.5040635388
685	0.7369937557	0.5040443913
686	0.7370507237	0.5040337021
687	0.7370906908	0.5040208374
688	0.7370706776	0.5040048148
689	0.7370692896	0.5040028117
690	0.7371144413	0.5039846885
691	0.7371451832	0.5039697102
692	0.7371777328	0.5039642528
693	0.7371896083	0.5039521263
694	0.7372029296	0.5039431627
695	0.7371977456	0.5039307618
696	0.7372050981	0.5039219519
697	0.737196176	0.5039157334
698	0.7371946683	0.5039100747
699	0.7371976216	0.5038996135
700	0.7372051601	0.5038848558
701	0.7371782695	0.5038662196
702	0.7371974966	0.5038504101
703	0.7372056962	0.5038453763
704	0.7372158747	0.5038381596
705	0.7372358869	0.5038322707
706	0.7372202088	0.5038272482
707	0.7372341869	0.5038174265
708	0.7372569573	0.5038017396
709	0.7372547266	0.5038007558
710	0.737267389	0.5037923942
711	0.7372717854	0.503788326
712	0.7372549208	0.5037786726
713	0.7372549208	0.5037691738
714	0.7372799865	0.5037500012
715	0.7372671932	0.5037394875
716	0.7372671932	0.5037212489
717	0.7372524307	0.5037151667
718	0.7372877941	0.5037057632
719	0.7372774938	0.5036973486
720	0.7372856294	0.5036819975
721	0.7373048528	0.5036741884
722	0.7372989481	0.5036688257
723	0.7373167947	0.5036538839
724	0.737304985	0.5036495676
725	0.7373442201	0.5036437139
726	0.7373552416	0.5036352407
727	0.7373574725	0.5036186854
728	0.737411468	0.5035970136
729	0.7373812243	0.5035842132
730	0.7373885716	0.5035752577
731	0.7374131119	0.5035673108
732	0.7374227571	0.5035555087
733	0.7374094382	0.5035452375
734	0.7374203919	0.5035383065
735	0.7374344316	0.5035261214
736	0.7374669726	0.5035125105
737	0.7374699247	0.5035056389
738	0.7374733232	0.5034793
739	0.7374474774	0.5034708691
740	0.7374733922	0.5034606768
741	0.7374800165	0.5034519888
742	0.7374857814	0.5034355648
743	0.7374924748	0.503428219
744	0.7374880125	0.503425321
745	0.7374998888	0.5034138833
746	0.7374865019	0.5033992283
747	0.7375226409	0.5033912619
748	0.7375529461	0.5033795314
749	0.7375573377	0.5033692188
750	0.7375248722	0.503359862
751	0.73754323	0.5033535887
752	0.7375017692	0.5033435764
753	0.7375180371	0.5033402996
754	0.737497236	0.503328391
755	0.737519983	0.5033178605
756	0.7375066671	0.5033131911
757	0.7375021328	0.5033010287
758	0.7375117777	0.503292678
759	0.7375272526	0.5032845653
760	0.7375199111	0.5032806992
761	0.7375517248	0.5032727964
762	0.7375606501	0.5032625316
763	0.737578356	0.5032513661
764	0.7375650404	0.5032423019
765	0.7375864892	0.5032281716
766	0.7376041945	0.5032164518
767	0.7376367266	0.5032046425
768	0.7376269339	0.5031993902
769	0.7376425543	0.503194373
770	0.7376299585	0.5031892266
771	0.7376380173	0.5031827857
772	0.7376772425	0.5031585912
773	0.7376943014	0.5031536641
774	0.737709054	0.5031490408
775	0.7377273999	0.5031434076
776	0.7377407142	0.5031299545
777	0.7377185489	0.5031215634
778	0.7377156738	0.5031127645
779	0.7377260379	0.5031083841
780	0.7377415085	0.5031016165
781	0.7377806567	0.5030789715
782	0.7377828121	0.5030684112
783	0.7377895073	0.5030520833
784	0.7378056178	0.5030397706
785	0.7377857622	0.5030279402
786	0.7377856088	0.503008981
787	0.7378187765	0.5029930028
788	0.7378135171	0.5029825462
789	0.7378497887	0.5029710535
790	0.7378371153	0.502964835
791	0.7378541742	0.5029597049
792	0.7378283441	0.5029491945
793	0.7378662857	0.5029350612
794	0.7378854208	0.5029250912
795	0.7378640538	0.5029104245
796	0.7379098937	0.5029018266
797	0.7378618219	0.5028977615
798	0.7378907586	0.502892085
799	0.7378967363	0.5028892557
800	0.7379468836	0.5028763686
801	0.737937395	0.5028692133
802	0.7379461659	0.5028577816
803	0.7379512688	0.5028483099
804	0.7379326951	0.5028281375
805	0.7379408264	0.5028080221
806	0.7379341304	0.5027937644
807	0.7379296664	0.5027869887
808	0.7379496753	0.5027821158
809	0.7379594002	0.5027737456
810	0.7379639431	0.5027673066
811	0.7379822	0.5027551196
812	0.7380037236	0.5027480436
813	0.7380163987	0.5027394278
814	0.7380297117	0.5027331596
815	0.7380073906	0.5027262299
816	0.7380501975	0.5027196196
817	0.7380589646	0.5027007272
818	0.7380443792	0.502690194
819	0.7380791353	0.5026732504
820	0.7380192685	0.5026624451
821	0.7380532274	0.5026485648
822	0.7380843169	0.5026456456
823	0.738112457	0.5026295377
824	0.7381050432	0.5026118716
825	0.7381412328	0.502603286
826	0.7381413142	0.5025909902
827	0.738146577	0.5025841868
828	0.7381470495	0.5025763703
829	0.7381381202	0.5025715582
830	0.7381610783	0.5025590051
831	0.7382325692	0.5025444068
832	0.738232736	0.5025302675
833	0.738260708	0.502521947
834	0.7382429317	0.5025155568
835	0.738265173	0.5025105544
836	0.7383013577	0.5025032286
837	0.7383251158	0.502494978
838	0.7383280644	0.5024833375
839	0.7383339617	0.5024733629
840	0.7383250312	0.5024670486
841	0.7383155536	0.502457434
842	0.7383207349	0.5024537396
843	0.738338427	0.502452584
844	0.7383472728	0.5024431211
845	0.7383324451	0.5024352352
846	0.738359868	0.5024245012
847	0.7383509373	0.5024161284
848	0.7383553177	0.5024095372
849	0.7383773884	0.5024035305
850	0.7384069579	0.5023884669
851	0.7383995441	0.5023802219
852	0.7384224149	0.5023664246
853	0.7384231304	0.5023587301
854	0.7384586822	0.5023530337
855	0.7384712771	0.5023424815
856	0.7384719924	0.502340431
857	0.7385054854	0.502332164
858	0.7384855628	0.5023185598
859	0.7384870801	0.5023156504
860	0.7385089748	0.5023060358
861	0.7385097773	0.5022974651
862	0.7385236275	0.5022866832
863	0.7385241663	0.5022785623
864	0.7385536441	0.5022680094
865	0.7385737414	0.5022580731
866	0.7386314449	0.5022488827
867	0.7386358216	0.5022466962
868	0.7386009854	0.5022332528
869	0.7386431457	0.5022222575
870	0.7386327843	0.5022091495
871	0.738628318	0.5022041049
872	0.7386134903	0.5021993521
873	0.738615009	0.5021930637
874	0.7386291222	0.5021863094
875	0.7386342131	0.5021812263
876	0.7386267993	0.5021781727
877	0.7386394837	0.5021719026
878	0.7386628831	0.5021662401
879	0.7386540409	0.5021540064
880	0.7386592215	0.5021460388
881	0.7386672587	0.5021426345
